Nodes,Dimension,Size,Time,Largest
512,0,1.1730200707299407,0.13404297828674316,0.009956103549035866
1024,0,1.238988710937865,0.507209062576294,0.006910415160831351
1024,0,1.2177757748971327,0.5003499984741211,0.008295029483739391
1024,0,1.2265896109421828,0.4910719394683838,0.0068364355533308
1024,0,1.223847523294639,0.4879610538482666,0.007380838561987013
1024,0,1.2118859133763897,0.4987649917602539,0.006415466199312103
4,2,0.7079708842984044,2.193450927734375e-05,0.31255995176612983
4,2,1.2596933693646502,4.315376281738281e-05,0.45090427564835583
4,2,1.295833906997942,3.504753112792969e-05,0.6602112912560739
4,2,1.062437880744996,1.8835067749023438e-05,0.4205611049516299
4,2,1.3204321705084219,3.0994415283203125e-05,0.6563248554595842
8,2,1.8286297285744302,4.601478576660156e-05,0.42056445182276947
8,2,2.141074380274402,5.602836608886719e-05,0.44709673373489045
8,2,1.3724861581446741,4.410743713378906e-05,0.31610188180337145
8,2,1.2695407232297327,4.38690185546875e-05,0.308129812005514
8,2,1.7163737725929398,4.410743713378906e-05,0.5655282324044565
16,2,2.3524706287174806,0.00017309188842773438,0.273927199252087
16,2,2.890359192939257,0.00017714500427246094,0.45320377193803785
16,2,2.462389400299479,0.0001838207244873047,0.3367910152131801
16,2,2.1816724383334596,0.00017786026000976562,0.33755256615718116
16,2,2.0854145882483937,0.00018095970153808594,0.2754119477644487
32,2,3.3552133234917707,0.0005199909210205078,0.27381051493884
32,2,3.960107012753609,0.0005230903625488281,0.2882734680162287
32,2,3.7719566148160335,0.0005581378936767578,0.286570241634215
32,2,3.5598952321779005,0.0005338191986083984,0.22397552822969286
32,2,4.191827994407075,0.0005168914794921875,0.22716516295228806
64,2,5.835554256502533,0.001798868179321289,0.18324538768187942
64,2,5.3134068679251945,0.0018000602722167969,0.22002885146993445
64,2,5.405838379514236,0.0018241405487060547,0.2479831555608446
64,2,5.627893392720698,0.00191497802734375,0.20090045700800066
64,2,5.609742543353361,0.0020999908447265625,0.23011421354790199
128,2,7.318859914531082,0.007503986358642578,0.1544326070920899
128,2,7.9309885793462325,0.007430076599121094,0.15158081174284624
128,2,7.801750686709442,0.007630109786987305,0.11143966166972369
128,2,7.922885558905458,0.0068759918212890625,0.11527460995834692
128,2,7.710928188307007,0.007914066314697266,0.12802201810684857
256,2,10.682717595390985,0.03025507926940918,0.10645548587446725
256,2,10.066023692123393,0.033087968826293945,0.12935444346695033
256,2,10.831486041588144,0.03496289253234863,0.09886730596346162
256,2,10.864243289486316,0.02616715431213379,0.11516410297571024
256,2,10.774376935040603,0.031809091567993164,0.1036683416296279
512,2,15.24981446234117,0.124114990234375,0.07884941699873559
512,2,14.927244748968674,0.12441301345825195,0.08447219569920311
512,2,14.988411030545132,0.12553906440734863,0.06905375031832856
512,2,14.631609572952652,0.12333393096923828,0.07943133222001549
512,2,15.129568455515951,0.12246394157409668,0.0758972458179287
1024,2,20.8032000793307,0.49181318283081055,0.058687398132749626
1024,2,20.93350949717425,0.5028369426727295,0.06331874213721483
1024,2,21.36930304526914,0.4929227828979492,0.06445525723334751
1024,2,21.025649269235,0.49010586738586426,0.05090083651773302
1024,2,21.164318010489264,0.5108530521392822,0.05724345660714508
4,3,1.7782427315134042,2.4080276489257812e-05,0.6837206502225871
4,3,1.8102291620481532,2.7894973754882812e-05,0.7980321166783227
4,3,1.3502746770044403,2.9087066650390625e-05,0.5398494203887775
4,3,1.220568072059071,3.3855438232421875e-05,0.5497157486084004
4,3,1.0288387484726007,1.7881393432617188e-05,0.4522735467660788
8,3,2.575665946854562,4.601478576660156e-05,0.6385118220926808
8,3,2.143003257372735,6.103515625E-05,0.4541670551898492
8,3,2.209626886981884,5.698204040527344e-05,0.48057028204571217
8,3,2.8989910937062975,4.482269287109375e-05,0.6383929384410767
8,3,2.4101437953758293,4.38690185546875e-05,0.5640591780848155
16,3,4.33207318679131,0.0001900196075439453,0.6219939987907263
16,3,5.261521390012244,0.00018095970153808594,0.5307828977104717
16,3,5.404276157355122,0.00017786026000976562,0.5847875613022568
