Nodes,Dimension,Size,Time
Nodes,Dimension,Size,Time
32,4,9.889833305029944,0.0036559104919433594
32,4,10.149473630404351,0.003820180892944336
32,4,9.70373072341437,0.0045549869537353516
32,4,10.252948294274102,0.0035581588745117188
32,4,10.107369179629874,0.0035810470581054688
64,4,16.50455676747386,0.023938894271850586
64,4,17.302554937466535,0.027878999710083008
64,4,16.165425713729505,0.024892091751098633
64,4,16.21241771959708,0.02222299575805664
64,4,17.32488595577245,0.024689912796020508
128,4,29.658300481004424,0.17081689834594727
128,4,29.221180286441392,0.182999849319458
128,4,28.595774254800858,0.16621685028076172
128,4,28.083254848971514,0.16777610778808594
128,4,28.6304379444872,0.1754450798034668
256,4,46.479592495214696,1.3142549991607666
256,4,47.377235601268,1.2707300186157227
256,4,47.43084677675383,1.2570350170135498
256,4,47.26012067431558,1.6253461837768555
256,4,47.164415595073336,1.680130958557129
512,4,77.49351049392538,12.129328966140747
512,4,79.16530044410653,11.850013017654419
512,4,77.73057139328031,11.861177921295166
512,4,78.3486188010064,11.896848201751709
512,4,78.77210227403287,12.256295919418335
1024,4,130.8461476371172,98.6607518196106
1024,4,128.81892195044915,98.20915412902832
1024,4,129.34620546792635,103.5432140827179
1024,4,132.32675992400536,105.21148586273193
1024,4,128.67697271856682,97.63737106323242
<<<<<<< HEAD
4,0,1.026347933580726,4.506111145019531e-05
4,0,1.0256838829498705,4.291534423828125e-05
4,0,0.7871777721199447,3.0040740966796875e-05
4,0,0.9459227418868844,1.6927719116210938e-05
4,0,0.8760604565531206,1.5974044799804688e-05
8,0,0.6121156853139866,0.0020148754119873047
8,0,1.457537224138461,5.2928924560546875e-05
8,0,0.6996590743614459,4.696846008300781e-05
8,0,1.1851435990925627,4.506111145019531e-05
8,0,1.1920479742808179,4.410743713378906e-05
16,0,1.5855874047117424,0.00014281272888183594
16,0,1.8874810151641568,0.00015401840209960938
16,0,1.0721647894507909,0.00017905235290527344
16,0,1.3388350707286758,0.00019097328186035156
16,0,0.9827087434960636,0.00021886825561523438
32,0,1.1622263232200014,0.0004761219024658203
32,0,1.8982879358500666,0.0004858970642089844
32,0,0.8744606459684691,0.0005619525909423828
32,0,0.9822418293868097,0.0004899501800537109
32,0,1.3813474155591048,0.0004830360412597656
64,0,1.1893020506359295,0.0018200874328613281
64,0,1.0298025967107218,0.0034999847412109375
64,0,1.1193424321602947,0.0017189979553222656
64,0,1.2261325630120883,0.0016269683837890625
64,0,1.4010064316918274,0.0016560554504394531
128,0,1.221020516828611,0.006746053695678711
128,0,1.1852928339592836,0.0070629119873046875
128,0,1.217584857205491,0.0068929195404052734
128,0,1.3281133604394246,0.0064678192138671875
